"","document","topic","gamma"
"1","Aristotle",1,0.496697567468011
"2","Locke",1,1.26231480343427e-06
"3","Aristotle",2,0.0154196697581143
"4","Locke",2,0.264744090627218
"5","Aristotle",3,0.486942275818369
"6","Locke",3,1.26220636097193e-06
"7","Aristotle",4,0.000940486955506337
"8","Locke",4,0.735253384851618
