"","word","Aristotle","Locke","logratio"
"1","sound",0.000880597684645069,0.000882238769100469,-0.0018618686106582
"2","assembly",0.000129004756349278,0.000129395019468069,-0.00302061729187679
"3","empty",0.000199116036973885,0.000199974120996106,-0.00430020799750193
"4","uniform",0.000199116036973885,0.000199974120996106,-0.00430020799750193
"5","pre",0.000106569146549403,0.000105868652292056,0.00659484140756541
"6","hatred",7.01112806246074e-05,7.05791015280376e-05,-0.00665038534245542
"7","letter",7.01112806246074e-05,7.05791015280376e-05,-0.00665038534245542
"8","perished",7.01112806246074e-05,7.05791015280376e-05,-0.00665038534245542
"9","shape",0.000701112806246074,0.000705791015280375,-0.00665038534245542
"10","ten",0.000291662927398367,0.000294079589700156,-0.00825166670942916
