"","topic","term","beta"
"1",1,"body",0.0093516364630716
"2",1,"time",0.00878578902006573
"3",1,"animals",0.00701207381349388
"4",1,"true",0.00592478442354221
"5",1,"water",0.00577572747701136
"6",1,"motion",0.00575322577947672
"7",1,"reason",0.00567028876618002
"8",1,"form",0.00524982704799979
"9",1,"belong",0.00512961027428433
"10",1,"earth",0.00478705398057522
"11",2,"body",0.0185655583673838
"12",2,"reason",0.018167292375502
"13",2,"words",0.0148208762043224
"14",2,"truth",0.0135186202460002
"15",2,"matter",0.0111285113669512
"16",2,"ideas",0.00988710205450994
"17",2,"substances",0.00870486668757275
"18",2,"knowledge",0.0085807831263498
"19",2,"idea",0.00720663178271506
"20",2,"species",0.00708140700257089
"21",3,"air",0.00666486658435647
"22",3,"nature",0.00600122091259833
"23",3,"animals",0.00591801998527246
"24",3,"sense",0.00583704072541003
"25",3,"substance",0.00486650842102708
"26",3,"matter",0.00443478687569061
"27",3,"contrary",0.0043824346848943
"28",3,"people",0.00428228388736233
"29",3,"movement",0.00418925840605929
"30",3,"called",0.00410249001468895
"31",4,"ideas",0.0325703858759809
"32",4,"idea",0.017424789971649
"33",4,"mind",0.0120829685055155
"34",4,"power",0.00874361854111892
"35",4,"knowledge",0.00864085204745805
"36",4,"nature",0.00679087503712384
"37",4,"names",0.00591316180360819
"38",4,"distinct",0.00575237934089069
"39",4,"complex",0.00574330034519489
"40",4,"simple",0.00488380978166391
